Item_ID	Before	After
106981:46	###that's right.###.###i said, well, we had one,###and we found one with just seventeen thousand miles on it###.###wow.###.###and it's an eighty-five,###and so i said, hey, this was a cinch,###we paid for the car,	###.###right.###.
106985:14	###.###wow.###.###and it's an eighty-five,###and so i said, hey, this was a cinch,###we paid for the car,###and we still know now that we have this car to put all the miles on --n403492.###.###right.###.	###and we intend --n403662 to replace our other one with a much newer car in the next couple of years, or next year probably.###.###do you, um, buy from dealers or from individuals.
107000:71	###generally from dealers,###and uh, it depends, because i don't like --n40387d to sell what we're trading --n40389c in to an individual uh, unless we, we have done that when we had a really good one that we wanted --n4038ff to sell --n40390e --n403915###.###right.###.###.###right.###.###you know, we were going up to a larger one,###but we have found that by trading in and going through a dealer, and we always make a deal.	###you're going --n403eee to get one shot at us###.###yeah.
107017:8	###i s-,###no,###.###.###this is the price we're going --n4040ff to give you --n404112 out the door.###we don't want --n4041e4 to hear about taxes,###.###.###okay.###i'll let you start.	###and how do you hold to yours --n4000f1..###.###no,
107059:62	###and she even writes down on the envelope as she subtracts and kind of debits on each envelope, what she's buying --n400e64.###.###uh-huh.###.###and then at the end of the, of the period, pay period, if she has any left --n400fc0, that much is for fun or entertainment.###.###uh-huh.###.###and they kind of work it that way.###we tried for a while	###.###yes.###.
107101:33	###.###but do you sort of self budget even,###i mean, you wouldn't like on payday think, boy, i can go --n401c9d do this and that and this and that.###you kind of think this is got --n401db0 to str-,###.###no.###.###you kind of divide it in fourths in a way, don't you.###.###no.	###.###right.###.
107109:10	###.###no.###because if you charge things, uh, you pay all your bills at the beginning of the month, when you get paid --n401f87 --n401f8e,###.###right.###.###or you get paid --n4020aa the last day or next to the last day.###.###right.###.	###and there isn't anything left to spend --n4021d5 anyway.###.###well, that's true.
107131:41	###well, yeah,### we, we tried --n402633 to, to, to,###.###oh.###.###or we are paying them off now.###.###yeah,###we're not there yet.###.	###.###uh-huh.###.
107192:61	###uh-huh.###but to, to have lived by that every week would have been tough for me because sometimes i'll spend less on groceries but we'll go out.###so it --n403c2b's kind of hard to say this is how much you're going --n403c6e to spend --n403c7d --n403c84 going out for fun.###this is how much you're going --n403ddb to spend --n403dea.###it's kind of hard.###.###well, we, we eat out a good deal at this point.###.###do you.###.	###.###yeah,###yeah.
107325:20	###.###.###yeah.###.###.###we've progressed a little bit farther than that.###.###yeah.###.###um, actually they have, uh, parts of town,	###and, um, they will have these green bins###.###uh-huh.
107335:52	###it may have even spread all over the whole town,###and, um, they will have these green bins###.###uh-huh.###.###and it's just as standard as a, a regular trash can that they come by and pick --n4006ad up and dump --n4006c0.###.###yeah.###.###and, uh, just along with a trash can you have this, this green plastic bin,	###aluminum.###you know, anything that --n400a22 can be recycled --n400a35 you just put --n400a48 in that bin.###.
107409:28	###see we don't have anything here in belton.### it's, it's a pretty small little town.###.###yeah,###i remember my grandparents and i used --n401d01 to always get out there on the road and pick up beer cans.###.###yeah.###.###and, uh,###.	###uh, they're, uh, getting a little bit more on,###they need to a lot a more community awareness of just what is it --n402051 mean --n40205c to recycle, and what can you recycle --n402087 and what you can't --n4020a6. because, you know, not a lot of people do really know what, you know, what it's for --n402109.###.
107441:73	###it may be --n402a54.###but, uh, they just go around to each, uh, door and pick it up.###.###wow, that's excellent.###.###yeah.###.###that's good.###.### let's see.	###.###yeah.###.
107484:27	###i'm hoping it will soon.###.###uh-huh.###well, the thing about newspapers and paper,###recycled paper is actually very expensive.###.###yeah.###.###so, when you see something that --n40363b's on recycled paper --n403652, they've actually gone to a lot of expense --n403681 to do that.###it's, uh,	### it's, uh, it's really a cost.###.###huh. i wasn't totally aware of that.
107522:20	###i can't either. because we're, we're at a very, you know, beginning stages,###.###okay.###.###so.###.###uh-huh.###.###we look forward to it to get better mumblex.###.	###.###yeah,###me too.
107554:62	###oh, gee.###.###and there would be like thirty people.###so people talk about, you know, big family reunions###and i think, like###i have a friend who --n1040a just went to, like, wyoming to some big ranch, you know, where like there were four hundred people for their family reunion --n10479.###.###oh, my.###.###and i,	###.###uh-huh.###.
107573:8	###and we always wer-, we always got together, just always.###now it's different because i live here###and i,###you know, when i go home --n10afe i try --n10b0d to see the families, as much of the family as i can###but it's real different.###.###yes.###.###and i grew up in a real not, i think --n10ce9 not normal setting.###.	###.###right.###i mean sunday dinner was at my grandmother's
107594:12	###.###well, i come from a very small family.###and we planned a family reunion --n1115b this spring. uh, where###we are from texas###and my family is from ohio###and we met in florida.###.###uh-huh.###.###so the seven of us went on a cruise and then went to disney together.	###so planning our family reunio-, reunion was very easy, you know.###.###yeah,
107674:70	###.###but i don't like, i don't like it --n4010de dirty.###.###no.### i have --n4011a8 to, you know i have --n4011c7 to say that's not exactly my favorite thing either really.###.###no,###i don't know.### we got the, we got the question###and i thought, oh, this is going --n401412 to be interesting.	###.###.###but although i do know a lot of my friends do like all the gardening work.
107677:42	###no.### i have --n4011a8 to, you know i have --n4011c7 to say that's not exactly my favorite thing either really.###.###no,###i don't know.### we got the, we got the question###and i thought, oh, this is going --n401412 to be interesting.###two bits i'll get a man --n4014c7 to talk to me, because they get stuck --n4014f2 doing it all.###.###.	###and this year we put in a new lawn in a new home###so, um, we've been fighting a drought here this summer and getting into fall.###.
107714:17	###and from ohio since we're right near lake erie###this is going --n401e1b to be a switch for us for a week going down there,###.###yeah.###.###and i think we'll probably experience some of your weather although i think they have more humidity.###but, um, as far as the gardening and things like that goes i don't know, uh, too much, too much about, uh, how much i really r-, do enjoy it myself --n4020e9.###.###yeah.###.	###.### i, well, not here.###i mean it's just,
107821:15	###well, that's a thought.###.###well, can you come up with anything else that maybe we could do --n400bd7 to these people.###.###huh.###i don't know### i, i like that idea.###um, oh, i had a thought just a second ago###but it slipped my mind.###.	###.###um, one thing that i-, that i think probably one of the reasons that people don't vote more --n400ef0 is because they don't know the candidates.###and i think sometimes, you know,
107876:16	###.###of course,### what do you think and this is not one of our questions but what do you think --n40245e of this no excuse absentee balloting.###.###no excuse.###uh, i'm not sure if i'm familiar with that, or not.###.###okay.###.###.	###.###uh-huh.###.
107908:15	###but this idea of anyone wel-,### i ju-, i am so bitterly opposed to this.###if you're busy, that has always been a legitimate excuse.###if you are incapacitated, ill health,###.###uh-huh.###.###but to have the expense of,### let's see.###they have five, six people at my polling place.	###and i don't know why we couldn't have duplicate voting on some of this --n40344e.###.###well, hopefully once they have, uh, you know, once they've checked them off the list they, they do have --n40356f to check them off a list when they vote --n40359a
107959:20	###.###it's rea-,###.###his grandmother too###and they're, that hi-,###her son, his uncle, whatever, you know, anyway.###.###.### he, he has, he's recently retired###and so he's the one who she moved in with --n400faf when she had a stroke --n400fca	###.###uh-huh.###.
107963:9	###and they're, that hi-,###her son, his uncle, whatever, you know, anyway.###.###.### he, he has, he's recently retired###and so he's the one who she moved in with --n400faf when she had a stroke --n400fca### and, and all the other children are working or whatever.###.###uh-huh.###.	### and, uh, so he's got, you know,###his retirement though is really twenty-four hours a day.###they have a day care two days a week.
108048:60	###yeah,###and maybe when the other brothers and sisters retire or whatever --n402fb9, i don't know what they're going --n402fe4 to do --n402ff3.###it's really not my family.###it's my fiancee's###so i don't, i can't say much.###.###uh-huh.###.###but i always feel like i would never put my parents in either###and i wonder, i'm going --n403301 to be the only sibling that --n403320 isn't going --n403333 to have children	###.###really.###.
108103:36	### really isn't that much for elderly people to live on --n404744.###.###uh-huh.###.###you know, even if they're in good health it's incredible.###.###right.###.###they don't have any,###they don't get special treatment	###.###uh-huh.###.
108168:42	###i miss that,###yeah.###.###so, that,###as soon as we got out of the cloud cover.###of course it wasn't sunny like it is here.###it was real gray###.###yeah.###.	###.###yeah.###.
108295:140	###.###so, you, you reached me at my job.###.###oh, wonderful,###well how do you dress for work --n400308.###.### my, my dress for work, uh, most of the time is, uh, rather comfortable and casual uh, usually, uh, slacks and a soft colored shirt.###.###uh-huh.###.	###.###uh-huh.###.
108312:12	###.###.###so you're in a church there.###.###yes.###.###uh-huh.###well, i'm working, this is my first morning to work down at our little church preschool --n400a5e,###and they've told me --n400b46 to wear just something terribly comfortable because these are two year olds,###and they have a lot of, uh, they have bible lessons	###but they still have snack time and play time,###so, i'm going --n400de4 to be dressing just in casual slacks and t-shirts, probably not blue jeans, but little bit short of that, just, just tennis shoes and play clothes.###.
108370:51	###now yesterday i had --n401f0e to dress up, and and, uh, be more formal because i had a, a formal meeting at noon time,###.###uh-huh.###.###but then i can go home later in the day and, and be a little more casual###.###well that's wonderful.###.###and then if i have a, a meeting of people that i know --n40223c, i can be very casual in the evening.###.	###so he has --n402468 to dress,###and he just really hates it,###they have the long sleeve shirts and the whole tie and the whole suit,
108374:44	###but then i can go home later in the day and, and be a little more casual###.###well that's wonderful.###.###and then if i have a, a meeting of people that i know --n40223c, i can be very casual in the evening.###.###well, my husband has --n402381 to take the bus into dallas, and doesn't return all day,###so he has --n402468 to dress,###and he just really hates it,###they have the long sleeve shirts and the whole tie and the whole suit,	###.###yeah,### that's, around here in a lot of places that's the way it is --n402832
108435:6	###.###yeah,### what kind, what kind of shoes do they wear --n403a6f down there.###.###well, we wear,###of course, like i said, if my husband's going downtown, he's got the whole, uh, you know, the dress men's dress shoes###.###uh-huh.###.###but for as out here, just anything that the moms,	###.### we, we can wear pretty much that, although, um, tennis shoes are kind of out in, in almost every, every situation unless you want --n403ff2 to look like a gook.###.
108454:11	###i'm sure they are.###.###.###that's right,###i'm sure that true.###it's a lot different than working in a kids preschool.###.###a lot different.###.###that's right.	###.###you too,###and thank you for --n404502 calling.
108534:35	###uh-huh.###.###.###yeah,###.###.###right,###right.###.###and, uh, that's one of the reasons,	###.###uh-huh,###yeah,
108606:49	###.###so do you, do you have a favorite for the series or anything.###.###uh, probably the pirates,###but only because of steve bushel, i guess###.###oh, uh-huh.###.###otherwise i really don't care that much,###but, uh, you know, i'm, i'm annoyed that the rangers got rid --n402d66 of him,	###.###yes.###.
108633:62	###uh-huh,###yeah,###i live in garland,###and, yeah,### i, i like steve bushel,###but i don't really like the pirates.###i'm a big saint louis cardinals fan###.###uh-huh.###.	### they, you know, they they've come from so far down,###.###uh-huh.
108780:20	###.###some of it is kind of pointless,###.###right,### the monotonous the monotonous,###.###yeah.###.###no###that's not,	###.###uh-huh.###.
108807:37	###.###i guess i don't really care --n401c03 to listen to rap that much except for once in a while some of the funny more satire kind some times.###.###uh-huh.###.###um, i'm, with you though,###i like classical###.###uh-huh.###.	###i like easy listening, just kind of, you know,###i guess i don't care much for rock and roll any more.###i used --n4020d3 to like it all right,
108810:23	###uh-huh.###.###um, i'm, with you though,###i like classical###.###uh-huh.###.###um, i don't like --n401e5b to listen to it all the time, but, um, some of the time, anyway.###i like easy listening, just kind of, you know,###i guess i don't care much for rock and roll any more.	###but i don't really care --n402161 to listen to it any more for some reason.###um, let's see.###country western, uh, i'm not quite as big on that.
108942:37	###because it has almost everything in it.###but on the other hand, it's not very inspiring, uh,###it's a good reference when you need --n401440 to dig something up --n401457.###.###uh-huh.###.###what we've found --n40151f very useful is a book called the thirty minute cookbook, i think that's the title, by marion burroughs###.###huh.###.	##, you know, the whole meal###.###yeah
108952:60	###uh, which --n4016ad has recipes which --n4016c0 allegedly can all be prepared --n4016db in thirty minutes##, you know, the whole meal###.###yeah###.###and so she's###.###that would be wonderful in these times.###.###yeah,	###.###yeah,###either they're really fast
109003:127	###speakeranan*t49-1.###speakera49-2*t49-2.###yeah,###speakerbnan*t49-2.###.###that thirty minute cookbook.###.###thirty minute cookbook.###that sounds fun.###.	###.###uh-huh.###and i have young children,
109061:17	###speakera65-2*t65-2.###uh-huh,###speakerbnan*t65-2.###.###that's good.###.###uh-huh.###basically you're baking, baking chicken in a, in an open pan, um, --n4036a2 having marinated it first###and, my wife did this part###.	###.###speakera70-1*t70-1.###uh-huh.
109511:135	###.###uh, you know, to,### i, i don't think, you know, the kids don't benefit from the bigger house and the fancier cars, and, and, and this type of thing.###i think that they would from the, you know, attention or whatever###.###that's true.###.###uh, but, it,### i, uh, i, i don't know,### i, i see it as a major problem	###.###yeah,###well, you know, i, as i said, i teach school
109611:36	###and she's going --n403fde to work,###and she's going --n40404f to buy her house,###and she's going --n4040d4 to get her car,###and then she's going --n40415d to have her children,###and then when, you know, they go on one salary --n40420b, will they be able --n404226 to sustain what their life-style is --n404245.###.###uh-huh.###.###and they're back to work,###and, you know, i agree with you,	###.###yeah.###.
109656:33	###yeah,###i think that's a good excuse.###you need --n400b45 to get into the the system a little more and know where to take things --n400b8c.###.###right.###.###.###yeah.###.###we've been here probably two and a half years,	###.###uh-huh.###.
109746:24	###they fill up the whole kitchen garbage can###.###right.###.###so, i'll be glad when the bins do come --n402570,###and i think that's when i'll, i'll start --n402624 doing the plastic, too --n40263f.###.###yeah,###it was real easy with the bins,###it really was,	###so, um,###.###yeah.
109831:11	###.###right,###right,###i won't have any excuse then,###that's for sure.###.###all right, well, it sounds like we're doing our part and at least starting, trying###.###thinking about it, anyway.###.	###.###yeah,###but, well, um, have you,
109847:15	###.###do they time this thing for us,###or do we,###.###um, yeah,###you can do it as long as you want.###they, you know,###if it's been long enough,###five minutes is, is when they cut in and say, say, we don't have any more room for recording --n404448.###.	###.###so we can say good-bye now.###.
109950:6	###.###yeah.###.###it has less than a thousand square feet###.###oh, wow.###.###yeah,###it's real little.###.	###.###yeah,###and now i have a daughter,
109958:63	###it's real little.###.###you all are cramped.###.###yeah,###and now i have a daughter,###now my, the one that --n10ea6 was five months old is seven years old###.###uh-huh.###.	###.###uh-huh.###.
109988:30	###oh.###.###so, um, the people that --n1146d lived here before us did use it for a bedroom###.###uh-huh.###.###but we have always just put like our computer and extra toys and books and###.###uh-huh.###.	###.###.###but it --n116bf sure is nice to have it when the kids come over --n116f6 to play --n11705
109995:8	###.###uh-huh.###.###you know, it's kind of a catch all room.###.###.###but it --n116bf sure is nice to have it when the kids come over --n116f6 to play --n11705###.###yeah.###.	###.###uh-huh.###.
110108:11	###.###.###well, what --n12d2b are the colors in your house.###.###uh, um, kind of a mauve and gray.###.###oh, i bet that's pretty.###.###uh-huh,###and then the kitchen's kind of a, a country pink and country blue,	###.###uh-huh.###.
110307:83	###.###are you,###.###you know, i think it's kind of coming back around to that, don't you,###i mean, that there's a lot more people --n400ce4 that --n400cef stay home now than before,###but i guess more than anything i think maybe people were just kind of wanting --n400e0f to have the choice of what they could do --n400e3a, you know###.###yeah.###.###i don't know,	###and you can't have everything###.###uh-huh.
110360:11	###or, if they wouldn't be able --n40294a to make ends meet not working or whatever,###.###uh-huh.###.###i mean, i think it's got --n402a62 to be a personal choice,###and, it --n402b29's nice that, that we could have the choice to stay home.###.###yeah,###well i find that i, whenever i have --n402c7a to, whenever i'm in a group of people --n402cb1 and we're discussing things --n402ccc,###like just over the weekend i visited my family, and some cousins i hadn't seen --n402e85 in a long time,	###and, uh, you know, well, i had my baby with me,###and i found that all i talked about --n4030ed was my baby, which --n403108 was fine with me,###.
110362:17	###uh-huh.###.###i mean, i think it's got --n402a62 to be a personal choice,###and, it --n402b29's nice that, that we could have the choice to stay home.###.###yeah,###well i find that i, whenever i have --n402c7a to, whenever i'm in a group of people --n402cb1 and we're discussing things --n402ccc,###like just over the weekend i visited my family, and some cousins i hadn't seen --n402e85 in a long time,###and everyone's all interested in what everybody's doing --n402f8e,###and, uh, you know, well, i had my baby with me,	###.###.###but it's like, you know, here these people are --n40322e,
110366:33	###.###yeah,###well i find that i, whenever i have --n402c7a to, whenever i'm in a group of people --n402cb1 and we're discussing things --n402ccc,###like just over the weekend i visited my family, and some cousins i hadn't seen --n402e85 in a long time,###and everyone's all interested in what everybody's doing --n402f8e,###and, uh, you know, well, i had my baby with me,###and i found that all i talked about --n4030ed was my baby, which --n403108 was fine with me,###.###.###but it's like, you know, here these people are --n40322e,	###and, you know, they kind of looked at me like i was from the dark ages, you know, like i, because i didn't have really all that much to talk about --n4033fd, uh, where career and things like that were concerned --n403430,###and you kind of feel little bit like an outcast for a while in social situations sometimes,###.
110367:105	###yeah,###well i find that i, whenever i have --n402c7a to, whenever i'm in a group of people --n402cb1 and we're discussing things --n402ccc,###like just over the weekend i visited my family, and some cousins i hadn't seen --n402e85 in a long time,###and everyone's all interested in what everybody's doing --n402f8e,###and, uh, you know, well, i had my baby with me,###and i found that all i talked about --n4030ed was my baby, which --n403108 was fine with me,###.###.###but it's like, you know, here these people are --n40322e,###they're going to school, getting degrees, making all this money,	###and you kind of feel little bit like an outcast for a while in social situations sometimes,###.###yeah.
110436:47	###.### i, i really like them.###.###oh, yeah,###i do, too.###lucky and spot, that's their names###.###oh.###.###and they live in an aquarium without water in my family room,	###.###.###so do you have any pets now.
110449:34	###so do you have any pets now.###.###yes,###um, we have one dog, a bichon frise.###um, our friends in houston bred the dogs.###i had never heard of them###.###no,###i haven't either.###.	###and they're small, and, um, and fluffy,###they don't shed.###i guess they're distantly related to a poodle,
110545:19	###.###um, no,###not really.### ours, um, ours barks more than, um, than some, because she spent a lot of time at our friends' house.###we used --n402452 to swap back and forth dogs.###mumblex they have three dogs.###they had a cockapoo, and, and two bichons um,###.###uh-huh.###.	###.###oh.###.
110723:39	###i think so too,###.###.### i, i agree with it.###uh, i know kay's company, you know,###they started it couple of years ago,###and so many of the people, even the professional people were, boy, they were so against them doing that, you know,###and i thought, jeez, to me it's quite simple,###uh, you either need a job###or you don't.	###and, uh, if they say, hey, you can't do this work, i'd say, hey, i agree,### i don't, i won't do that.###and i think most of them have agreed to that now, although they didn't like it at first.
110758:53	###.###what###.###.###well, but why, if you're going --n402531 to do teachers or professionals, why not do the kids, when we see them --n40257c and they're, you know, under the influence --n4025ab.###.###.###right,###yes,###i agree with that.	###it's just our bleeding heart liberals that --n4028b4 would fight it to-, tooth and nail, you know###.###that's true.
110917:11	###i have four girls###.###oh.###.###they're nine and five and three and a newborn.###.###oh, my, you are busy###.###yes,###.	###i have two girls,###so, all girls around here.###.
110919:8	###oh.###.###they're nine and five and three and a newborn.###.###oh, my, you are busy###.###yes,###.###and they're all girls,###i have two girls,	###.###girls are nice, aren't they.###.
110926:40	###.###and they're all girls,###i have two girls,###so, all girls around here.###.###girls are nice, aren't they.###.###yes,###uh, really sweet.###.	###.###that's how i am --n108f5 too.###.
110943:11	###.###.###uh-huh.###.###.###uh-huh.###.###.###oh, that's funny.###.	###and they all rotate all the time###kind of the same stuff all the time, though,###.
110944:10	###.###uh-huh.###.###.###uh-huh.###.###.###oh, that's funny.###.###and they're all in boxes or bags,	###kind of the same stuff all the time, though,###.###yeah.
110944:16	###.###uh-huh.###.###.###uh-huh.###.###.###oh, that's funny.###.###and they're all in boxes or bags,	###kind of the same stuff all the time, though,###.###yeah.
110945:16	###uh-huh.###.###.###uh-huh.###.###.###oh, that's funny.###.###and they're all in boxes or bags,###and they all rotate all the time	###.###yeah.###.
110966:23	###i said, who ever i talk to --n10f27 is going --n10f36 to be board, because when it's summer time --n10f65, i'm wearing shorts,###and when it's cold --n110bb, i'm wearing sweat pants, and most of, unless i'm going to something special that my daughter's doing --n1111e, or something like that,###.###yeah.###.###.###yeah,### i, i like jeans a lot.###.###well, that's, that's good.	###and now nothing seems --n114d1 to be comfortable because i bulge in all the wrong places,###so.###.
110967:41	###and when it's cold --n110bb, i'm wearing sweat pants, and most of, unless i'm going to something special that my daughter's doing --n1111e, or something like that,###.###yeah.###.###.###yeah,### i, i like jeans a lot.###.###well, that's, that's good.###i used --n113fd to wear jeans all the time until after i had kids,	###so.###.###oh, and it's, it's frustrating,
110993:21	###so it has --n119d8 to be not the straight up and down levis kind.###.###yeah,###yeah,###i know what you mean --n11abc.###well,###.### but, um, but i,###when i was, i was pregnant through the summer this time###	###.###oh.###.
111110:46	###.###yeah,###and then when you drive home --n13959, like especially if you're in a lot of traffic which you are --n13998 in dallas,###.###you burn up,###.###uh-huh###.###yeah.###.	###.###yeah.###.
111194:38	###.###do you.###do you have children in the public school system.###.###yes,###and i taught for fourteen years before we moved to texas,###.###is that right.###.###and the, the one thing i see --n40052f is changing is i was held --n400552 accountable so much	###and instead of spending my time --n400753 coming up with creative learning stations and things like that i was filling out all these forms for all the children###.###you were a bookkeeper.
111195:68	###do you.###do you have children in the public school system.###.###yes,###and i taught for fourteen years before we moved to texas,###.###is that right.###.###and the, the one thing i see --n40052f is changing is i was held --n400552 accountable so much###i had --n400666 to document and create a paper chase for all of my students,	###.###you were a bookkeeper.###.
111195:78	###do you.###do you have children in the public school system.###.###yes,###and i taught for fourteen years before we moved to texas,###.###is that right.###.###and the, the one thing i see --n40052f is changing is i was held --n400552 accountable so much###i had --n400666 to document and create a paper chase for all of my students,	###.###you were a bookkeeper.###.
111298:12	###.###or just to face the children different directions or to do something###.###just,###yeah.###.###i know last year my son had --n402852 to eat in the classroom because there was no cafeteria at his school###.###oh, goodness.###.	###.###oh.###.
111442:98	###.###uh-huh.###.###uh, but, uh, it seems like it's, i don't know if it's late.###i'm sort of waiting for indian summer###so i can get a lot of stuff down --n4011d0 out here.###.###uh-huh.###.###uh, i, i enjoy it.	###we came from nine years in a condo, uh,###and --n4015c5 working in that condo, you didn't have --n4015f0 to do anything you know, unless you really wanted --n40161f to,###.
111555:41	### that's, that's strange with me.###you know, you think, dallas, you know, almost semitropical, you wouldn't have that kind of, that kind of problem,###but,###.###well, for the most part we don't,###but we have usually just a pocket of really bad hot and really bad cold.###well, the summers have gotten where they're a lot hotter --n4035c8###.###uh-huh.###.	###we've noticed that crepe myrtles --n4037c6 don't do as well as they used --n4037ed to and, uh, pittosporum###.###really,
111561:48	###well, the summers have gotten where they're a lot hotter --n4035c8###.###uh-huh.###.###but the, the ice storms really are stressful on all the, the plants that we have --n4036b8 around.###we've noticed that crepe myrtles --n4037c6 don't do as well as they used --n4037ed to and, uh, pittosporum###.###really,###oh do they.###.	###.###uh-huh.###.
111588:9	###and i really enjoy --n403d18 getting around and seeing the different areas with different gardens,###and texas is, d-, dallas is very nice.###i really enjoy it there. the landscaping, the homes, the architecture, the whole thing###very enjoyable gardens,###.###uh-huh.###.###and my wife and i,###.###except for the lack of trees, out where we are --n404009.	###.###well.###.
111610:109	### we moved, in seventy-six we moved to chicago,###we lived there for five years,###and i remember the first time i took my wife there on a house hunt --n404461,###uh, we were coming in###and before the plane landed she looked out the window###and she said, she said, mumblex there's no trees down there.###.###.###mumblex this is illinois,###you're not.	###.###um.###.
111617:10	###.###mumblex this is illinois,###you're not.###and, when we got out to the area where we decided we were going --n40477b to live and buy a house --n40479a --n4047a1, there were no trees because the farmers had cleared all the land###.###um.###.###.###uh-huh.###.	###and the first thing i did --n404a27 was planted all kinds of trees,###.###.
111618:37	###mumblex this is illinois,###you're not.###and, when we got out to the area where we decided we were going --n40477b to live and buy a house --n40479a --n4047a1, there were no trees because the farmers had cleared all the land###.###um.###.###.###uh-huh.###.###and now all of a sudden it was being developed --n404994,	###.###.###do you have any.
111629:86	###.###.###do you have any.###.###sure.###i have a springer spaniel,###and her name is thumper.###she's about seven or eight years old.###i got her for christmas from my family, and, uh, back when we lived in nebraska --n4001b2.###i like --n400297 to hunt,	###.###did it work..###.
111864:56	###when we travel --n400ece we look for wendy's because we have kids,###and my husband and i like --n400fa5 getting the salads or the lighter meals###.###uh-huh.###.###and then that way they can get their burgers and fries###and we can have a salad bar###.###yeah.###.	###.###.###uh, yeah,
111908:25	###um.###.###or we eat junk food at home###.###yeah.###.###uh, now my husba-,###.###well, what are some of your, your favorite inexpensive places --n401d50.###.	###we sort of take turns.###and we, uh###i sort of favor the ones,
111992:36	###so, that's our nice place to go --n403320.###we don't usually take the kids when we go there --n4033cc,###.###but well, we don't go out that much,### i gue-, well, i guess we do go out without kids.###we're usually picking things up quickly,###though we just don't dwell on food too much,###.###yeah.###.	###.###right,###.
112005:30	###.###.###that's right.###.###so, it doesn't really matter to him.###he'd probably just like --n40391c to stay home.###.###yeah,###that's the way with my husband.###he's gone during the week and likes --n403a35 to eat at home on the weekends,	###.###.###so we have a conflict of interests on the weekend.
112011:19	###.###yeah,###that's the way with my husband.###he's gone during the week and likes --n403a35 to eat at home on the weekends,###and i've been --n403b05 eating at home all week long with the kids and would like --n403b3c to go out somewhere,###.###.###so we have a conflict of interests on the weekend.###.###well, i think, i, i never have liked --n403ce5 to cook food,	###.###right.###.
112024:90	###.###it was mainly baseball teams###.###yes.###.###and my husband would coach,###so we were never home at the same time.###.###uh-huh.###.	###.###right.###.
112058:54	###uh-huh.###.###that, uh,###those kind of crimes deserve some kind of severe punishment.###too often i feel that --n4006e2 people get off, uh, without,###.###.###yeah,### i, i agree with you, although i will say,###i'm not sure, you know,	###and the parents are saying, hey, wait a minute,###we didn't do anything like that you know,###.
112072:116	###uh-huh.###.### and, and, and i guess before i'd like --n400d78 to see that severe of a punishment for it it has --n400dab to be a, an absolute certainty you know, like, uh, caught at it, or something###.###uh-huh.###.###.###right,###right,###.	###.###yeah,###.
112092:36	###.###yeah,###well, sometimes they even wonder when, when, uh, criminals plead temporary insanity for, for punish-, for crimes that --n40153d are so severe and then, you know, they get sent --n401574 to a mental institution --n40158b###.###uh-huh.###.###and they play loony for a while,###and then they're back out in public.###.###well, but i can't see that either.	###.###yeah.###.
112134:61	###i guess, you know, a lot of,###and i was just seeing in the newspaper or the grocery store that some miss america was abused --n4024c5 by the man she loved --n4024e4###and,###.###that's the new one.###.###is that the new,###i just happened --n402680 to see the headline on it,###and i didn't, couldn't realize if it was the husband or the father or what,###but i thought, uh, you know, if these things, if children are being abused --n402864, i, i'm wondering how our school system is failing --n40289b, that they're not even seeing this, you know,	###and that kind of, that kind of worries me with my kids only being under two and not having, you know, --n402d51 to, to deal with that yet,###but still.###.
112134:111	###i guess, you know, a lot of,###and i was just seeing in the newspaper or the grocery store that some miss america was abused --n4024c5 by the man she loved --n4024e4###and,###.###that's the new one.###.###is that the new,###i just happened --n402680 to see the headline on it,###and i didn't, couldn't realize if it was the husband or the father or what,###but i thought, uh, you know, if these things, if children are being abused --n402864, i, i'm wondering how our school system is failing --n40289b, that they're not even seeing this, you know,	###and that kind of, that kind of worries me with my kids only being under two and not having, you know, --n402d51 to, to deal with that yet,###but still.###.
112162:10	###well, yes,### i, but i was from conservative wisconsin,###.###.###and, uh, you know, there was, there was, nothing on it, which --n4033a8 makes me wonder, you know, if it's as, uh, prevalent as, as some of them claim.###.###yeah.###.### it, uh, it, it, it's,###you just don't know,	###unless they're caught --n403788 in the act or the-, the-, the child is very badly, you know, beaten --n4037e3 up, it comes down to a one word against the other that type thing.###.###uh-huh,
112609:50	###i know.###the insurance.###.###but, uh, i, uh, fo-,###yeah,###for one thing.###uh, but yeah,### we, uh, we do###but our two had, had, uh, totally different interests of,###but the-, there was not much, uh, overlap as such.	###uh, he participated###band and, and, uh, scouts were his two big things.###.
112735:38	###well, i, you know, in terms of, in terms of any sorts of trends i, you know,### obv-, obviously things are different from, --n403286 for me --n403299 than, and my children than when i was growing up --n4032cc.###.###yeah.###.### i, i, i grew up on a farm, uh, in iowa,###and, uh, you know the whole family was around the, the whole time.###and then what my father did --n403639 was, was, uh, in-, you know, obvious to me###and i, i helped out with it.###but, uh, although i have brought my boys into --n403839 to see where i work --n403854, it's not that easy,	###and they, they just don't really have that same idea,###.###right.
112805:14	###right.###.###and hopefully he won't have too many surprises when he gets home --n4048af.###.###.###very good.###uh, discussion or on child care.###.###do you have any children.###.	###.###oh.###.
112813:21	###do you have any children.###.###uh, they're all grown up.###.###oh.###.###.###i work in a day-care center###and mumblex.###.	###.###yes,###i enjoy it a lot.
112872:50	###yeah,###that makes it a little easier to deal with --n401198.###.###i've always thought, you know, it would be really tough.###what if you had a fire or something with babies.###.###oh, i know.###we,###.###you would have --n4013f9 to be able --n40140c to have enough,	###.###what we do --n4015ae is we have these cribs in the back room where they sleep --n4015e5 that --n4015f0 are, um, low to the ground###.
