Item_ID	Sentence	Pre	ParentString	Partitive	ParentNode	NoPreNode	GrammFunction	Objects	NPNiteID
89612:16	but, um, for all practical purposes, i guess we hold the mortgage.	for	for all practical purposes	no	PP		NP	NP-OTHER	sw3051_s8_503
89705:26	this area up here is, uh, all custom homes,	uh	is, uh, all custom homes	no	VP		NP-PRD		sw3051_s72_507
89787:111	but, you know, i don't think, i think it's going --n4036f4 to be a long time, if ever, when nice things and really quality construction and all the other additional amenities are really, uh, desirable --n40376b.	and	nice things and really quality construction and all the other additional amenities	nullpartitive	NP-SBJ		NP-SBJ	NP-OTHER	sw3051_s122_531
89954:44	my, my mother and stepfather, and my father and stepmother are all in their seventies.	are	are all in their seventies	no	VP				
89975:152	my, my mother and stepfather have, have, uh, set up an arrangement where they have a large home and, uh, two of my sisters and, and their families, one of them's husband and then all the children are living in this home --n400812.	then	one of them's husband and then all the children	nullpartitive	NP		NP-SBJ	NP-OTHER	sw3052_s21_527
89977:31	and, and, uh, they all share the same kitchen and dining room and den and kitchen.	they	they all	no	NP-SBJ		NP-SBJ	NP-OTHER	sw3052_s23_506
89993:95	and, and, uh, we have a very active nursing home here in plano that, that --n40158e has, uh, activities going all the time	going	going all the time	nullpartitive	VP		NP-TMP		sw3052_s35_528
90003:77	you know, th-, so there are a lot of, a lot of activities going on all the time	on	going on all the time	nullpartitive	VP		NP-TMP		sw3052_s41_526
90077:17	you hear these stories, all the time.	stories	hear these stories, all the time	nullpartitive	VP		NP-TMP		sw3052_s90_504
90102:13	but the family were all talking about, uh, --n403ebf putting him in another home.	were	were all talking about, uh, --n403ebf putting him in another home	no	VP				
90117:59	i, i would hate --n4041db to be in a position where that was all i could afford --n404216 --n40421d	was	was all i could afford --n404216 --n40421d	no	VP		NP-PRD	NP-OBJ	sw3052_s113_521
90129:34	as the situation is so sad because it just takes all the dignity away from, from people who --n40478d have been independent all their lives.	takes	takes all the dignity away from, from people who --n40478d have been independent all their lives	nullpartitive	VP		NP	NP-OBJ	sw3052_s120_511
90129:83	as the situation is so sad because it just takes all the dignity away from, from people who --n40478d have been independent all their lives.	independent	been independent all their lives	nullpartitive	VP		NP-TMP		sw3052_s120_528
90276:38	and i don't know if you are familiar with that at all	at	at all	no	ADVP				
90336:51	but, uh, i am trying --n404805 to get away from --n40481c just reading novels all the time.	novels	reading novels all the time	nullpartitive	VP		NP-TMP		sw3056_s99_516
90442:44	cause i just kind of, uh, i just have all the books out, you know,	have	have all the books out, you know	nullpartitive	VP		NP	NP-OBJ	sw3056_s165_513
90444:16	and i have them all out	them	them all	no	NP		NP	NP-IOBJ	sw3056_s167_503
90565:51	and i, i requested a conference and, because all year long they kept --n40214e telling me i was crazy.	because	and, because all year long they kept --n40214e telling me i was crazy	no	SBAR-PRP		NP-TMP	NP-OTHER	sw3062_s70_515
90592:88	and we think he needs --n4029f6 to be tested --n402a09 immediately, because, you know, once the first report card comes in, they, have all these people being tested,	have	have all these people being tested	nullpartitive	VP		NP	NP-OBJ	sw3062_s87_527
90763:16	and they put off all social life, all everything, you know.	off	put off all social life, all everything, you know	no	VP		NP	NP-OTHER	sw3062_s185_504
90763:25	and they put off all social life, all everything, you know.	life	all social life, all everything	no	NP		NP	NP-OTHER	sw3062_s185_504
90787:15	we didn't do all that you know.	do	do all that you know	nullpartitive	VP		NP	NP-OBJ	sw3062_s201_504
90829:13	were they like all in dallas.	like	they like all	no	NP-SBJ		NP-SBJ	NP-OTHER	sw3067_s14_501
90937:28	and at time, you know, they all knew one another.	they	they all	no	NP-SBJ		NP-SBJ	NP-OTHER	sw3067_s85_507
90956:34	you know, the, those were all brothers and sisters a lot	were	were all brothers and sisters a lot	no	VP				
90957:23	and or they were all in the same ar-, geographical location.	were	were all in the same ar-, geographical location	no	VP				
90963:86	you know, back around, you know, in the twenties and thirties when they were growing up --n402d57, uh, you know, they were all located --n402d86 together, in one small community.	were	were all located --n402d86 together, in one small community	no	VP				
91086:75	and that, that's been a, that's been a nice way of keeping us all aware of each other, i think --n40603f.	us	us all	no	NP-SBJ		NP-SBJ	NP-IOBJ	sw3067_s183_526
91460:20	well, i don't read all that much for enjoyment.	read	read all that much for enjoyment	nullpartitive	VP				
91477:23	i really didn't like it at all.	at	at all	no	ADVP				
91485:11	and it was all this, this, um, divorced woman syndrome of the, um,	was	was all this, this, um, divorced woman syndrome of the, um	no	VP				
91503:11	and it was all about women searching for themselves. and, um, you know, a lot of hanky-panky, going on.	was	was all about women searching for themselves. and, um, you know, a lot of hanky-panky, going on	no	VP				
91715:54	um, most of the stuff is on, uh, literary criticism and philosophy, and religion and all that.	and	literary criticism and philosophy, and religion and all that	nullpartitive	NP		NP	NP-OTHER	sw3069_s192_509
91768:64	and they just went from generation, probably to generation, just with these, with these all passing it from one to the other.		these all	no	NP-SBJ		NP-SBJ	NP-OTHER	sw3069_s220_518
91875:13	and the translations are all so different from one another.	are	are all so different from one another	no	VP				
91885:30	my work, is just kind of compiling, all that for him.	compiling	compiling, all that for him	nullpartitive	VP		NP	NP-OTHER	sw3069_s284_508
91932:26	well, all, see, all the family lives in once place, except for a few of us are scattered about.	see	well, all, see, all the family lives in once place, except for a few of us are scattered about.	no	S		NP-SBJ		sw3070_s11_507
91966:7	and all of the descendants of the civil war, i mean, yeah, the civil war veterans come together,	and	and all of the descendants of the civil war, i mean, yeah, the civil war veterans come together,	yes	S		NP-SBJ	NP-OTHER	sw3070_s29_501
91976:46	and, uh, that seems --n400f1a to be sort of a middle ground for all of the texas family.	for	for all of the texas family	yes	PP		NP	NP-OTHER	sw3070_s35_512
91991:10	um, all of his direct descendants, descendants have now died	um	um, all of his direct descendants, descendants have now died	yes	S		NP-SBJ	NP-OTHER	sw3070_s44_502
92025:13	and you get all the wonderful old family recipes, that --n401b63 have been handed, down for years.	get	get all the wonderful old family recipes, that --n401b63 have been handed, down for years	nullpartitive	VP		NP	NP-OBJ	sw3070_s66_503
92072:8	you all equated the family reunions as, with the protestant.	you	you all	no	NP-SBJ		NP-SBJ	NP-OTHER	sw3070_s91_501
92082:47	all, it's a home centered, you know, it's all family centered anyway,	's	's all family centered anyway	no	VP				
92150:65	so i got busy, got together, and put a reunion together for his family. and succeeded in getting all of his brothers and sisters and all of their offspring but one to our place down at lake tawakoni.	getting	getting all of his brothers and sisters and all of their offspring but one to our place down at lake tawakoni	yes	VP		NP	NP-OBJ	sw3070_s146_517
92150:83	so i got busy, got together, and put a reunion together for his family. and succeeded in getting all of his brothers and sisters and all of their offspring but one to our place down at lake tawakoni.	and	all of his brothers and sisters and all of their offspring but one	yes	NP		NP	NP-OTHER	sw3070_s146_517
92169:54	and, and, uh, it was an enormous task to bring all of those people together with just one or two people helping --n40532b.	bring	bring all of those people together with just one or two people helping --n40532b	yes	VP		NP	NP-OBJ	sw3070_s157_516
92170:38	and, uh, we had --n405456 to provide sleeping arrangements for all of them	for	for all of them	yes	PP		NP	NP-OTHER	sw3070_s158_510
92176:30	and then the following summer, we did not have all of the family there.	have	have all of the family there	yes	VP		NP	NP-OBJ	sw3070_s162_506
92231:14	where have you all been --n40005a on vacation recently.	you	you all	no	NP-SBJ		NP-SBJ	NP-IOBJ	sw3072_s3_503
92264:32	we just kind of walked the beaches and looked at all the beautiful scenery there.	at	at all the beautiful scenery	nullpartitive	PP		NP	NP-OTHER	sw3072_s23_509
92409:33	i would, i would spend all my time --n40372d in london, or most of my time,	spend	spend all my time --n40372d in london, or most of my time	nullpartitive	VP		NP	NP-OBJ	sw3072_s109_511
92466:52	but i'd have --n404805 to have a tour guide with me --n404828 to help with all the language and all that.	with	with all the language and all that	nullpartitive	PP		NP	NP-OTHER	sw3072_s144_516
92466:61	but i'd have --n404805 to have a tour guide with me --n404828 to help with all the language and all that.	and	all the language and all that	nullpartitive	NP		NP	NP-OTHER	sw3072_s144_516
92554:30	i guess that's what retirement is all about --n40618b.	is	is all about --n40618b	no	VP				
92592:23	i watch evenings because i work all day.	work	work all day	no	VP		NP-TMP		sw3073_s5_508
92641:46	i'm sorry they're breaking the team up, because we liked all the ones that --n400cf0 were on there.	liked	liked all the ones that --n400cf0 were on there	nullpartitive	VP		NP	NP-OBJ	sw3073_s35_515
92649:77	i'm surprised that, i was surprised at the ending of, you know, with all the funny things happening and different things.	with	with all the funny things happening and different things	nullpartitive	PP		NP-SBJ		sw3073_s40_528
92668:20	it hasn't hurt him at all.	at	at all	no	ADVP				
92696:57	sometimes it --n402014's better just to tape record both of them and then watch it all in one.	it	watch it all in one	no	VP		NP-ADV	NP-IOBJ	sw3073_s66_520
92715:40	we generally just stay on one channel all, for all of monday night, just --n402891 to watch those.	for	for all of monday night	no	PP-TMP		NP	NP-OTHER	sw3073_s79_512
92750:32	and the son-in-law and mother-in-law are sniping at each other and all,	and	sniping at each other and all	no	VP		NP-ETC		sw3073_s104_507
92796:10	and they all go out and howl, you know.	they	they all	no	NP-SBJ		NP-SBJ	NP-OTHER	sw3073_s128_501
92810:21	so all the, all the people that --n404e1a worked with the father ostracized him.	the	so all the, all the people that --n404e1a worked with the father ostracized him.	nullpartitive	S		NP-SBJ	NP-OTHER	sw3073_s135_505
92843:26	that, that's all there is --n405753 to it.		's all there is --n405753 to it	no	VP		NP-PRD	NP-OTHER	sw3073_s151_508
92867:150	and, and, uh, i guess mostly i, i like the news shows --n405efd too, the news magazines, like sixty minutes or twenty, twenty or prime time live or something like that, you know, all, all of those shows, if i can do it,	all	sixty minutes or twenty, twenty or prime time live or something like that, you know, all, all of those shows	no	NP		NP	NP-OTHER	sw3073_s162_525
92940:26	i do okay, because the kids are all in bed,	are	are all in bed	no	VP				
93061:44	but wouldn't it be mu-, much nicer if we all did it,	we	we all	no	NP-SBJ		NP-SBJ	NP-OTHER	sw3074_s37_511
93062:53	because her effort would have really, um, really, uh, been a good example for all of us.	for	for all of us	yes	PP		NP	NP-OTHER	sw3074_s38_513
93269:52	you, you, you can't be waited --n40581a on all your life and expect things to always ha-, work ou-, out.	on	waited --n40581a on all your life	nullpartitive	VP		NP-TMP		sw3074_s161_518
93311:72	you can't tell a person that --n4062c2 lives in a hundred, two hundred, three hundred thousand dollar house that --n406301 have all that they need --n40631c, and all that they could want --n40633f that they've got --n406356 to be careful.	have	have all that they need --n40631c, and all that they could want --n40633f	nullpartitive	VP		NP	NP-OBJ	sw3074_s184_519
93311:94	you can't tell a person that --n4062c2 lives in a hundred, two hundred, three hundred thousand dollar house that --n406301 have all that they need --n40631c, and all that they could want --n40633f that they've got --n406356 to be careful.	and	all that they need --n40631c, and all that they could want --n40633f	nullpartitive	NP		NP	NP-OTHER	sw3074_s184_519
93401:50	and, and, uh, do we have --n40808f to wait until all the landfills, are full and there is nowhere else to put our garbage --n4080e6.	until	until all the landfills, are full and there is nowhere else to put our garbage --n4080e6	nullpartitive	SBAR-TMP		NP-SBJ		sw3074_s230_515
93537:61	and we like --n401d9b not having --n401daa to take our suitcase in and out of hotel rooms and drag it all around.	it	it all	no	NP			NP-IOBJ	
93547:21	you can sit in the sun all day around the pool,	sun	sit in the sun all day around the pool	no	VP		NP-TMP		sw3075_s67_506
93580:10	that's all mexico, i think --n402be4.	's	's all mexico	no	VP				
93660:13	but i like all of that.	like	like all of that	yes	VP		NP	NP-OBJ	sw3075_s140_503
93703:80	i, i guess i, i would contemplate --n4050d2 going on a cruise, uh, oh, all circumstances permitting it.	oh	contemplate --n4050d2 going on a cruise, uh, oh, all circumstances permitting it	no	VP		NP-SBJ		sw3075_s166_526
93705:15	well, there's all age grou-, groups too,	's	's all age grou-, groups too	no	VP		NP-PRD		sw3075_s167_504
93797:45	i, i mean, as i said, basically all i've done --n406cb6 is go back and forth to parents	basically	i, i mean, as i said, basically all i've done --n406cb6 is go back and forth to parents	no	S		NP-SBJ	NP-OTHER	sw3075_s226_515
93908:52	my job at texas instruments, i have --n401a8c to sit in front of a computer all day and make phone calls, so, that, i don't get any exercise --n401af3 doing that	computer	sit in front of a computer all day	no	VP		NP-TMP		sw3080_s55_517
93928:22	eating right and no cholesterol and all that.	and	eating right and no cholesterol and all that.	nullpartitive	NP		NP	NP-OTHER	sw3080_s66_500
93931:8	that all,	that	that all	no	NP-SBJ		NP-SBJ	NP-OTHER	sw3080_s68_501
93932:25	i, i do all that.	do	do all that	nullpartitive	VP		NP	NP-OBJ	sw3080_s69_508
94034:63	and i need --n4041e0 to find some place i could go --n404207 and not feel like there's all these people who --n404236 are just huge and hulking that --n404255 are...	's	's all these people who --n404236 are just huge and hulking that --n404255 are	nullpartitive	VP		NP-PRD	NP-OTHER	sw3080_s134_522
94184:73	but, um, for the cheese part, you mix, uh, sour cream, and cream cheese and cottage cheese and, uh, layer all that.	layer	layer all that	nullpartitive	VP		NP	NP-OBJ	sw3081_s17_514
94280:7	for all the inside parts you brown hamburger and put some, um, tomato sauce in it,	for	for all the inside parts	nullpartitive	PP		NP	NP-OTHER	sw3081_s73_502
94447:28	well, i guess that's probably all we need --n4053f6 to do --n405405 for tonight.	probably	's probably all we need --n4053f6 to do --n405405 for tonight	no	VP		NP-PRD	NP-OTHER	sw3081_s182_509
94580:49	and i often feel funny because i'm in a branch that --n401cba's all but died	's	's all but died	no	VP			NP-OTHER	
94633:58	and it's a chance to see some of the relatives you don't see --n402bba all year long except that once a year.		see --n402bba all year long except that once a year	no	VP			NP-IOBJ	
94661:30	and it --n403463's just too much for all of them, all of that group to travel.	for	for all of them, all of that group to travel	yes	SBAR-N403463		NP-SBJ	NP-OTHER	sw3082_s112_509
94661:42	and it --n403463's just too much for all of them, all of that group to travel.	them	all of them, all of that group	yes	NP-SBJ		NP-SBJ	NP-OTHER	sw3082_s112_509
94663:18	it --n403565's an, all day drive just to get to this area.	an	an, all day drive	no	NP-PRD		NP-PRD		sw3082_s113_505
94692:61	and choose, some place that everybody's going --n403d43 to like --n403d52 as far as food and all that.	and	food and all that	nullpartitive	NP		NP	NP-OTHER	sw3082_s128_519
94717:57	and the grandkids really enjoy it because it's the only time of the year they see all their cousins from oklahoma --n404262.	see	see all their cousins from oklahoma --n404262	nullpartitive	VP		NP	NP-OBJ	sw3082_s141_518
94726:17	and this year they're all excited.	're	're all excited	no	VP				
94878:27	and, and they're not all that way,	not	're not all that way	nullpartitive	VP				
94956:28	my children as a matter of fact, are all grown now.	are	are all grown now	no	VP				
95028:137	seeing the children in the school the way i do --n4014e6, i, i mean, i see the ones that, we can always tell the ones that --n401551 have not been around children at all when they come in as three year olds --n401594 as opposed to the ones that --n4015b3 have been in the program, that --n4015d6 started at twelve months maybe, and were were even in there one day a week which --n40162d is all our school provides --n40164c for the, you know for the under three year olds	at	at all	no	ADVP			NP-OBJ	
95028:281	seeing the children in the school the way i do --n4014e6, i, i mean, i see the ones that, we can always tell the ones that --n401551 have not been around children at all when they come in as three year olds --n401594 as opposed to the ones that --n4015b3 have been in the program, that --n4015d6 started at twelve months maybe, and were were even in there one day a week which --n40162d is all our school provides --n40164c for the, you know for the under three year olds	is	is all our school provides --n40164c for the, you know for the under three year olds	no	VP			NP-OBJ	
95070:26	and she was going --n4026c0 to accomplish all of these things	accomplish	accomplish all of these things	yes	VP		NP	NP-OBJ	sw3085_s63_508
95443:57	like i haven't bought, we haven't really bought any commercially available software at all.	at	at all	no	ADVP				
95661:28	and i don't have a problem --n400b0e at all with employers, uh, testing in the hiring process,	at	at all	no	ADVP				
95855:23	and in the long run, we're all paying for that	're	're all paying for that	no	VP				
96046:17	of course, it's all relative, of course,	's	's all relative, of course	no	VP				
96457:189	and, uh, they have a, we have a, uh, i think it's three bedroom or two bedroom, uh, condominium, which --n40346d will sleep, i do not know, quite a few about, six or eight. and, uh, cause it's got, you know, pull out couches and all that,	and	pull out couches and all that	nullpartitive	NP		NP	NP-OTHER	sw3093_s88_550
96567:34	well, that's probably ne-, all we need --n40568f to do --n40569e today.	ne-	's probably ne-, all we need --n40568f to do --n40569e today	no	VP		NP-PRD	NP-OTHER	sw3093_s154_510
97004:45	because, uh, i, i guess i placed all but one or two of my calls. and, uh, only because i going --n407510 to make some money,	placed	placed all but one or two of my calls. and, uh, only because i going --n407510 to make some money	no	VP		NP	NP-OBJ	sw3096_s233_514
97302:13	and i fought all of those things,	fought	fought all of those things	yes	VP		NP	NP-OBJ	sw3097_s137_503
97419:12	and that's all.	's	's all	no	VP		NP-PRD		sw3097_s202_503
97460:48	they tend --n405e5c to look at the mother as the one who --n405e87 solves all problems.	solves	solves all problems	no	VP		NP	NP-OBJ	sw3097_s224_517
97461:12	they, are all things to all people,	are	are all things to all people	no	VP		NP-PRD		sw3097_s225_503
97461:20	they, are all things to all people,	to	to all people	no	PP		NP	NP-OTHER	sw3097_s225_505
97496:79	and i ha-, i am supposed --n40690a to be the one who --n406925 is going --n406934 to fix it all and, and soothe everybody.	it	it all	no	NP		NP	NP-IOBJ	sw3097_s245_528
97528:8	not at all.	at	at all	no	ADVP				
97565:8	not at all,	at	at all	no	ADVP				
97642:44	and if not, the infant is going --n401fd0 to lay in the crib all day, and maybe have a mobile --n40200b above it to play with --n40202e.	crib	lay in the crib all day	no	VP		NP-TMP		sw3099_s71_513
97687:42	well she's, she's just been doing all kinds of stuff where she's, you know mumblex,	doing	doing all kinds of stuff where she's, you know mumblex	no	VP		NP	NP-OBJ	sw3099_s98_514
97765:10	are they all nearby.	they	they all	no	NP-SBJ		NP-SBJ	NP-IOBJ	sw3099_s144_501
97768:57	or you can set up your work program and your husband's so that one of you is there all the time.	there	is there all the time	nullpartitive	VP		NP-TMP		sw3099_s146_516
97932:17	they stay up until all hours of the night.	until	until all hours of the night	no	PP-TMP		NP	NP-OTHER	sw3099_s219_505
97966:12	and, they all felt that th-, there was never an issue that my father was the, was the cause of the reason for the split up, even though he had impregnated another woman and forced the divorce.	they	they all	no	NP-SBJ		NP-SBJ	NP-OTHER	sw3103_s19_501
98293:42	and, but it was just enter-, all around entertaining.	enter-	was just enter-, all around entertaining	no	VP				
98521:14	so you know all the story and who --n40443a did what and when it happened --n404459,	know	know all the story and who --n40443a did what and when it happened --n404459	nullpartitive	VP		NP	NP-OBJ	sw3108_s165_505
98734:22	uh, so it's effected all of us.	effected	effected all of us	yes	VP		NP	NP-OBJ	sw3111_s75_506
98899:19	so there was no repercussion at all. you know, other than insurance,	at	at all	no	ADVP				
98907:39	and somebody had taken like a baseball bat to it and broke all his windows and his lights and his, dented it everywhere,	broke	broke all his windows and his lights	nullpartitive	VP		NP	NP-OBJ	sw3111_s184_511
99042:24	i mean it's embarrassing and all this other stuff	and	's embarrassing and all this other stuff	nullpartitive	VP		NP-ETC		sw3113_s65_509
99049:54	i don't, i don't think that's right because all's that's going --n403d7b to do --n403d8a is say, oh, well, you know, that was a breeze,	because	because all's that's going --n403d7b to do --n403d8a is say, oh, well, you know, that was a breeze	no	SBAR-PRP			NP-OTHER	
99069:148	the other thing that juries are restricted --n4048c4 on --n4048cf and, and at least to me this has been one of the frustrating things in my, even in my own experiences, that you usually don't get --n40495a to hear all the information.	hear	hear all the information	nullpartitive	VP		NP	NP-OBJ	sw3113_s83_547
99077:70	and to me, how can you, how can you make a decision if you don't have all of the evidence in front of, whether it be, whether it pertains to the case or not --n404f1f,	have	have all of the evidence in front of, whether it be, whether it pertains to the case or not	yes	VP		NP	NP-OBJ	sw3113_s88_522
99082:50	so the lawyers, the two lawyers are the ones that --n40521a have all the information.	have	have all the information	nullpartitive	VP		NP	NP-OBJ	sw3113_s91_515
99208:54	and then many schools on a particular day during, uh, i guess football season, maybe all year long, they wear the school colors for, uh, game day which,	maybe	maybe all year	no	NP		NP	NP-OTHER	sw3115_s59_514
99256:71	and you can see in some of the departments in some of the schools, like history at clark, they're all pretty fancy.	're	're all pretty fancy	no	VP				
99507:36	and, uh, my oldest one just wasn't impressed --n401604 at all with the idea of a small school.	at	at all	no	ADVP				
99515:25	or, you know, there's all of these areas to look at --n401b59 in making the decision.	's	's all of these areas to look at --n401b59 in making the decision	yes	VP		NP-PRD	NP-OTHER	sw3120_s58_507
99623:83	oh, she, she has, uh, you know, interests that --n4046e2 are just, you know, going in all directions.	in	in all directions	no	PP		NP	NP-OTHER	sw3120_s129_528
99645:7	by all means, go --n4051df get that piece of paper, you know.	by	by all means	no	PP		NP	NP-OTHER	sw3120_s145_502
99664:36	but the, the humidity has hung around all of june.	around	hung around all of june	yes	VP		NP-TMP	NP-OTHER	sw3124_s5_510
99688:38	well, you know, last year was so strange having all those heavy, heavy rains in april	having	having all those heavy, heavy rains in april	nullpartitive	VP		NP	NP-OBJ	sw3124_s20_512
99795:41	i think a lot of people were, uh, leaving michigan all about the time i came here in the early eighties --n4029b8	michigan	leaving michigan all about the time i came here in the early eighties --n4029b8	no	VP				
99809:19	but you know where all the lakes are --n4030f6 around there.	where	where all the lakes are --n4030f6 around there	nullpartitive	SBAR-LOC		NP-SBJ		sw3124_s100_508
99818:60	you know, in the summer, you feel like you're, you know, on a vacation all the time because you're right on a lake	vacation	're, you know, on a vacation all the time	nullpartitive	VP		NP-TMP		sw3124_s107_519
99822:52	but i thought it --n403776 was just really neat to be out there on all those lakes.	on	on all those lakes	nullpartitive	PP		NP	NP-OTHER	sw3124_s111_519
99845:42	but that's the only one i probably could name --n403e39 after all these years	after	after all these years	nullpartitive	PP-TMP		NP	NP-OTHER	sw3124_s124_514
99860:48	and i think a lot of people didn't really know that there were all those lakes out there unless you were from that area and kind of spotted them,	were	were all those lakes out there	nullpartitive	VP		NP-PRD		sw3124_s132_516
99861:22	but there was quite a few lakes all around there.	lakes	was quite a few lakes all around there	no	VP				
99993:78	and i remember --n405dc3 getting up and somebody telling me, hey, better wait to go to work because the roads are all, you know, snow.	are	are all, you know, snow	no	VP		NP-PRD		sw3124_s196_527
100006:17	it just melted it all away.	it	it all	no	NP			NP-IOBJ	
100021:45	so, uh, i, i just as soon --n4063d8 have all the slushy snow on the streets than have the ice on the streets	have	have all the slushy snow on the streets than have the ice on the streets	nullpartitive	VP		NP	NP-OBJ	sw3124_s210_512
100078:49	--n4004e1 used --n4004ec to be we, we put all of our trash in green bags and the trash men came out twice a week and picked up.	put	put all of our trash in green bags	yes	VP		NP	NP-OBJ	sw3130_s17_519
100176:7	well all that stuff	well	well all that stuff	nullpartitive	FRAG		NP	NP-OTHER	sw3130_s74_502
100341:21	or do you just put it all in.	it	it all	no	NP		NP	NP-IOBJ	sw3130_s176_504
100381:35	he would get, he would get all upset		get all upset	no	VP				
100399:53	and and then, uh, after a couple of days they take them all outside	them	them all	no	NP		NP	NP-IOBJ	sw3130_s213_514
100432:21	and they have a deposit on all their bottles and cans.	on	on all their bottles and cans	nullpartitive	PP		NP	NP-OTHER	sw3130_s233_506
100477:20	it was just kind of all of a sudden she wasn't herself anymore.	of	was just kind of all of a sudden she wasn't herself anymore		VP		NP-ADV	NP-OTHER	sw3131_s26_506
100542:18	so as a family you all just visited nursing homes	you	you all	no	NP-SBJ		NP-SBJ	NP-OTHER	sw3131_s67_503
100565:13	all of them all seem --n402c2d to say that people there are going --n402c50 to steal their items.	them	all of them all seem --n402c2d to say that people there are going --n402c50 to steal their items.	no	S				
100583:22	but, um, at least they all seem --n40324f to have, uh, you know, people that --n40327e monitor their, uh, medication intake and dining facilities,	they	they all	no	NP-SBJ-N40324F		NP-SBJ-N40324F	NP-OTHER	sw3131_s93_503
100614:47	and oh, i wish everybody could go that direction rather than --n4041b4 just all of a sudden moving out of the home they've always been in --n4041fb.	just	--n4041b4 just all of a sudden moving out of the home they've always been in --n4041fb		S-NOM		NP-ADV	NP-OTHER	sw3131_s113_514
100739:11	and we're all heading that way	're	're all heading that way	no	VP				
100759:24	um, well i guess first of all i, i could have asked that before.	of	of all	no	PP		NP	NP-OTHER	sw3133_s2_507
100772:36	um, what do you think --n400319 about the proposal that all young americans should spend a year or two,	that	that all young americans should spend a year or two	no	SBAR		NP-SBJ		sw3133_s9_511
100780:67	would every-, everyone grow up and mature and, and realize what this country's all about --n40078d.	's	's all about --n40078d	no	VP				
100991:22	i guess that's about all.	about	's about all	no	VP		NP-PRD		sw3133_s146_508
101138:103	and they said, oh, but we need more in the middle school because that's when kids are, you know, at a tougher and rougher age and all that --n4029a0.	and	are, you know, at a tougher and rougher age and all that --n4029a0	nullpartitive	VP		NP-ETC		sw3134_s71_532
101155:91	so they started, uh, --n40317b dividing the kids up so that a counselor stays with her group of counselees through you know, through all three years of middle school.		through all three years of middle school	no	PP-TMP		NP	NP-OTHER	sw3134_s83_529
101206:12	they have all these different names for things, strategies and all these different things.	have	have all these different names for things, strategies and all these different things	nullpartitive	VP		NP	NP-OBJ	sw3134_s112_503
101206:35	they have all these different names for things, strategies and all these different things.	and	strategies and all these different things	nullpartitive	NP		NP	NP-OTHER	sw3134_s112_503
101333:49	i started back when it --n4001c6 wasn't, stylish to do that at all --n4001f5.	at	at all	no	ADVP				
101355:31	i, i just wish all kids, if they have --n400692 to be put --n4006a5 in day school, could have that kind of place.	wish	all kids, if they have --n400692 to be put --n4006a5 in day school, could have that kind of place	no	SBAR		NP-SBJ		sw3135_s14_511
101723:11	sometimes, not all the time.	not	sometimes, not all the time.	nullpartitive	UCP		NP	NP-OTHER	sw3138_s5_502
101749:37	oh, well i'll be hitting that fairly soon because all of mine are boys, too.	because	because all of mine are boys, too	yes	SBAR-PRP		NP-SBJ	NP-OTHER	sw3138_s20_511
101855:23	it's not the one with all the shells and stuff in it, is it.	with	with all the shells and stuff in it	nullpartitive	PP		NP	NP-OTHER	sw3138_s79_507
102022:18	you just mix it all together and pop it in the oven --n40498e just to, you know, heat it through.	it	it all	no	NP		NP	NP-IOBJ	sw3138_s177_505
102126:102	now when they go to their grandmother's house --n406452, which --n406461 is every weekend. it's a, it's a different a different story all around.	story	's a different a different story all around	no	VP				
102179:7	and all that kind of stuff does really help.	and	and all that kind of stuff does really help.	nullpartitive	S		NP-SBJ	NP-OTHER	sw3138_s262_501
102205:13	i think all mine have been east coast people so far.	think	all mine have been east coast people so far	no	SBAR		NP-SBJ		sw3140_s14_505
102340:21	trying --n4035ea to do all these programs like headstart and things like those. you wouldn't have --n403631 to do that if mothers would stay home with their children and do things with them, you know.	do	do all these programs like headstart and things like those	nullpartitive	VP		NP	NP-OBJ	sw3140_s96_508
102410:17	that's what it all boils down to --n404cbd in the end, usually anyway.	it	it all boils down to --n404cbd in the end, usually anyway	no	S				
102421:34	and that's the, where it all starts --n404fbf	it	it all starts --n404fbf	no	S				
102488:42	so, uh, we tend --n401461 to, like --n401474 to try all sorts of different things.	try	try all sorts of different things	no	VP		NP	NP-OBJ	sw3142_s32_512
102772:17	and, uh, we all liked it.	we	we all	no	NP-SBJ		NP-SBJ	NP-OTHER	sw3144_s17_502
102783:11	and we'll all go --n4008d0 see regarding henry	'll	'll all go --n4008d0 see regarding henry	no	VP				
102809:13	well she goes all the time	goes	goes all the time	nullpartitive	VP		NP-TMP		sw3144_s43_504
102929:84	and so, the second week i was out of the hospital --n403622 i went up and worked half day on the computers cause you can learn all the software for free.	learn	learn all the software for free	nullpartitive	VP		NP	NP-OBJ	sw3144_s117_526
102998:92	but some of the different things we're doing --n4055a5, uh there's just not a time, enough time to do it all --n4055f0	it	it all	no	NP		NP	NP-IOBJ	sw3144_s165_530
103002:69	and he said, well, realistically, you know, he knew he couldn't get them all in.	them	them all	no	NP		NP	NP-IOBJ	sw3144_s167_521
103129:10	and we all ate there	we	we all	no	NP-SBJ		NP-SBJ	NP-OTHER	sw3146_s34_501
103340:11	it's all chocolate, like made like a paper bag	's	's all chocolate, like made like a paper bag	no	VP			NP-OTHER	
103551:22	and, we're so strict with all our controls --n402b38 in the united states. the chances of, of an accident are slight,	with	with all our controls	nullpartitive	PP		NP	NP-OTHER	sw3148_s62_505
103552:26	and, it doesn't pollute the air at all.	at	at all	no	ADVP				
